symbol,name,sector,revenue,net_income,net_margin,market_cap,dividend_yield_pct,margin_tier,revenue_tier
WFC,Wells Fargo,Financials,83026004057.33173,20805114184.0636,25.058551739641835,271161999360.0,2.27,20-30%,$50-100B
ADM,Archer Daniels Midland,Consumer Staples,82099007378.62854,1763972100.1012325,2.148591263675154,41713602560.0,2.46,0-10%,$50-100B
C,Citigroup,Financials,81712000604.06224,15566613819.603535,19.05058461979409,231150796800.0,1.96,10-20%,$50-100B
LLY,Lilly (Eli),Health Care,79666006614.99036,26556059381.465145,33.33424193057046,1002504519680.0,0.62,30%+,$50-100B
MET,MetLife,Financials,79398007262.30066,3317189466.6746745,4.177925342277104,60808790016.0,2.48,0-10%,$50-100B
HCA,HCA Healthcare,Health Care,78012994230.52792,6458240008.5085125,8.278415759077843,91326824448.0,0.7799999999999999,0-10%,$50-100B
MS,Morgan Stanley,Financials,77827999715.40047,19459316505.83256,25.00297653414056,338221465600.0,2.13,20-30%,$50-100B
LMT,Lockheed Martin,Industrials,77013996882.67714,6261352359.81723,8.130148561638416,121040519168.0,2.5700000000000003,0-10%,$50-100B
CAT,Caterpillar Inc.,Industrials,74728995637.56442,10659860368.420631,14.264691071349262,374892429312.0,0.79,10-20%,$50-100B
ACN,Accenture,Information Technology,73100588379.34885,7655395231.02867,10.472412603988486,107579416576.0,3.64,10-20%,$50-100B
AXP,American Express,Financials,70912999782.60909,11122352140.370668,15.684503792629497,217314689024.0,1.17,10-20%,$50-100B
ALL,Allstate,Financials,70137002811.28983,12625197715.167828,18.000765942532652,64119717888.0,1.7000000000000002,10-20%,$50-100B
IBM,IBM,Information Technology,69094999576.97388,10608432903.563086,15.353401792477005,226055733248.0,2.91,10-20%,$50-100B
DAL,Delta Air Lines,Industrials,68287001255.72163,3965466963.14104,5.807059748151969,51787812864.0,1.09,0-10%,$50-100B
GS,Goldman Sachs,Financials,67570000498.06009,18862083124.65285,27.914877883113785,299551326208.0,1.9300000000000002,20-30%,$50-100B
ORCL,Oracle Corporation,Information Technology,67356998322.18965,16793146680.566616,24.93155440246866,465570562048.0,1.23,20-30%,$50-100B
MRK,Merck & Co.,Health Care,66569000226.912865,3083964551.2099233,4.632733766013692,363981832192.0,2.29,0-10%,$50-100B
PRU,Prudential Financial,Financials,65224000242.06253,3805349852.4752774,5.834278545248184,40568549376.0,4.6899999999999995,0-10%,$50-100B
COP,ConocoPhillips,Energy,64459003097.37543,9082110519.739584,14.08974710021443,164018601984.0,2.4899999999999998,10-20%,$50-100B
ABBV,AbbVie,Health Care,64385997678.03037,6237924230.001075,9.688324255212345,443387412480.0,2.78,0-10%,$50-100B
PFE,Pfizer,Health Care,63695999392.39424,4331752382.249923,6.800666326882634,158336942080.0,6.1899999999999995,0-10%,$50-100B
CSCO,Cisco,Information Technology,63325000811.38237,13128814287.15147,20.73243445547912,431437283328.0,1.54,20-30%,$50-100B
UAL,United Airlines Holdings,Industrials,62902003827.031044,3466404498.600842,5.510801385807705,34767908864.0,0.0,0-10%,$50-100B
TJX,TJX Companies,Consumer Discretionary,62362999315.317795,5939859378.042638,9.524653148912405,138728718336.0,1.49,0-10%,$50-100B
CB,Chubb Limited,Financials,61896002822.281425,10883413651.476923,17.583386899354174,130253750272.0,1.21,10-20%,$50-100B
HPQ,HP Inc.,Information Technology,59162001452.100624,2362692283.7242274,3.993597623023514,29209010176.0,3.85,0-10%,$50-100B
TSN,Tyson Foods,Consumer Staples,55693997739.15946,569918444.6797873,1.0233031705660218,18202210304.0,3.9,0-10%,$50-100B
UBER,Uber,Industrials,55226997803.81801,9314074001.842476,16.865073917160434,145185177600.0,0.0,10-20%,$50-100B
GD,General Dynamics,Industrials,54860999046.94969,4437137811.978737,8.087963925304136,95417409536.0,1.78,0-10%,$50-100B
CHTR,Charter Communications,Communication Services,54395995714.24127,5179498891.058141,9.521838552726612,18045358080.0,0.0,0-10%,$50-100B
GE,GE Aerospace,Industrials,50639000394.03632,8788154709.955856,17.354518536252197,337643601920.0,0.5599999999999999,10-20%,$50-100B
KO,Coca-Cola Company (The),Consumer Staples,50128999556.396996,14327488403.688948,28.58123746828418,376688181248.0,2.4,20-30%,$50-100B
BMY,Bristol Myers Squibb,Health Care,49186002496.099495,9273924481.214615,18.85480423409088,131571253248.0,3.9,10-20%,$10-50B
TRV,Travelers Companies (The),Financials,48979001672.816795,7763162273.7224865,15.849980621452763,76515745792.0,1.37,10-20%,$10-50B
NFLX,Netflix,Communication Services,48370764096.66564,13241328558.969324,27.374652450202028,316584329216.0,0.0,20-30%,$10-50B
COF,Capital One,Financials,48110000959.52657,11128615004.289389,23.13160420356579,129359421440.0,1.5,20-30%,$10-50B
DE,Deere & Company,Industrials,47927001422.6936,4845168354.694726,10.109475266275519,182593028096.0,0.95,10-20%,$10-50B
ABT,Abbott Laboratories,Health Care,46584999107.7668,5346884348.915373,11.477695505684625,182088253440.0,2.39,10-20%,$10-50B
NKE,"Nike, Inc.",Consumer Discretionary,46397999725.34006,3115347168.4438887,6.714399730345392,55408676864.0,4.3,0-10%,$10-50B
TMO,Thermo Fisher Scientific,Health Care,46336001202.34461,6866207502.716792,14.81829964725001,223952240640.0,0.31,10-20%,$10-50B
V,Visa Inc.,Financials,44487998351.58175,21956476510.761013,49.353707346512614,685934510080.0,0.73,30%+,$10-50B
QCOM,Qualcomm,Information Technology,44068999593.239876,9356209429.951433,21.230818753114292,188405858304.0,2.11,20-30%,$10-50B
CRM,Salesforce,Information Technology,43938001090.667534,8978929818.933596,20.435453584711954,200943681536.0,0.7100000000000001,20-30%,$10-50B
CBRE,CBRE Group,Real Estate,43711001750.42301,1265444025.6910195,2.895024078643481,40447877120.0,0.0,0-10%,$10-50B
DG,Dollar General,Consumer Staples,43637996702.32793,1698749143.0142176,3.8928210994699386,27482232832.0,1.8499999999999999,0-10%,$10-50B
NOC,Northrop Grumman,Industrials,42892000389.31274,4472144135.501322,10.426522649700507,73243435008.0,1.91,10-20%,$10-50B
PM,Philip Morris International,Consumer Staples,42545001695.699585,11346705886.701935,26.66989172513971,289450098688.0,3.18,20-30%,$10-50B
MOH,Molina Healthcare,,42468998522.57669,8351999.934064802,0.01966610992633802,10133585920.0,0.0,0-10%,$10-50B
BBY,Best Buy,Consumer Discretionary,42201002597.6858,1260463485.6472073,2.9868093364121355,18462328832.0,4.3,0-10%,$10-50B
HPE,Hewlett Packard Enterprise,Information Technology,41870998716.360695,2575281924.651257,6.150514684630606,78187683840.0,1.02,0-10%,$10-50B
GEV,GE Vernova,Industrials,41366999101.94047,9287052051.644735,22.45038860266055,253293887488.0,0.21,20-30%,$10-50B
AMD,Advanced Micro Devices,Information Technology,41305001146.300316,6431951857.34506,15.571847666977172,850674515968.0,0.0,10-20%,$10-50B
MDLZ,Mondelez International,Consumer Staples,39675000398.656624,3484321211.7596617,8.782157975422828,79667150848.0,3.37,0-10%,$10-50B
OKE,ONEOK,Energy,39365999427.90864,3649840258.482226,9.2715549243611,60402020352.0,4.390000000000001,0-10%,$10-50B
SMCI,Supermicro,Information Technology,39063072527.25997,2141707044.8322427,5.482689676644517,25575661568.0,0.0,0-10%,$10-50B
SBUX,Starbucks,Consumer Discretionary,38338301058.611595,1972200049.9839277,5.144203043762498,114045599744.0,2.4299999999999997,0-10%,$10-50B
AMGN,Amgen,Health Care,38094998635.998055,8693362569.808296,22.820220189202107,211533070336.0,2.56,20-30%,$10-50B
HON,Honeywell,Industrials,38057001064.06416,8243609680.974956,21.661217254344027,64950513664.0,1.34,20-30%,$10-50B
MDT,Medtronic,Health Care,37541998166.01845,5193299752.463272,13.833306712917706,117539979264.0,3.1199999999999997,10-20%,$10-50B
SLB,Schlumberger,Energy,36365999116.94621,3042493528.8636746,8.366313597158676,84670373888.0,2.07,0-10%,$10-50B
NUE,Nucor,Materials,36101001169.89603,2845020962.429789,7.880725936216418,58513506304.0,0.8699999999999999,0-10%,$10-50B
LIN,Linde plc,Materials,35449001687.77789,7145192311.375393,20.156258205259732,215116382208.0,1.37,20-30%,$10-50B
MA,Mastercard,Financials,35083002370.45589,15899579425.326551,45.31989382617923,497135616000.0,0.61,30%+,$10-50B
CMI,Cummins,Industrials,34708001578.09199,2689964129.536725,7.75027085176421,76370747392.0,1.5699999999999998,0-10%,$10-50B
PYPL,PayPal,Financials,34127999714.92065,4525388342.307339,13.260045651983681,44629393408.0,1.05,10-20%,$10-50B
JBL,Jabil,Information Technology,33589998452.664665,838296670.9445354,2.4956734431705043,32627554304.0,0.1,0-10%,$10-50B
DHI,D. R. Horton,Consumer Discretionary,33349999103.14617,2931269017.5820794,8.789412582939319,38858895360.0,1.3,0-10%,$10-50B
NRG,NRG Energy,Utilities,33125000098.34247,807208265.1630988,2.4368551328804084,24251983872.0,1.59,0-10%,$10-50B
PWR,Quanta Services,Industrials,32905138248.48115,1315504691.0848496,3.997870123355495,94262296576.0,0.06999999999999999,0-10%,$10-50B
DUK,Duke Energy,Utilities,32802999875.98379,5177222514.64392,15.782771497171339,93899538432.0,3.58,10-20%,$10-50B
LEN,Lennar,Consumer Discretionary,32737235267.589706,1536911004.6074882,4.694687844116911,19454691328.0,2.4899999999999998,0-10%,$10-50B
SW,Smurfit WestRock,Materials,31326001341.92418,493051528.65819246,1.5739370093122362,22134867968.0,4.09,0-10%,$10-50B
CEG,Constellation Energy,Utilities,31269999905.1084,3624564575.279318,11.591188315568857,104132714496.0,0.5700000000000001,10-20%,$10-50B
AMAT,Applied Materials,Information Technology,30836998916.539207,9189858148.5683,29.801402443346667,372078149632.0,0.44999999999999996,20-30%,$10-50B
SO,Southern Company,Utilities,30178999110.78278,4774006666.026206,15.818969504261927,101623062528.0,3.42,10-20%,$10-50B
LUV,Southwest Airlines,Industrials,30072997873.244614,782733146.8045502,2.6027772492244057,18922573824.0,1.8599999999999999,0-10%,$10-50B
ETN,Eaton Corporation,Industrials,30025999998.510536,3821855941.520228,12.728488449043542,161271447552.0,1.04,10-20%,$10-50B
HIG,Hartford (The),Financials,29314999997.22623,3919518107.42217,13.370350018055715,36990279680.0,1.77,10-20%,$10-50B
APH,Amphenol,Information Technology,29011598784.236732,4931933272.8792715,16.99986722399803,200581726208.0,0.61,10-20%,$10-50B
NEE,NextEra Energy,Utilities,28700000055.933052,9282603599.175018,32.34356648461419,172406112256.0,2.97,30%+,$10-50B
BKNG,Booking Holdings,Consumer Discretionary,28241000812.911045,6762424506.1974325,23.94541380100747,130311913472.0,0.9299999999999999,20-30%,$10-50B
KMX,CarMax,,28197508455.96947,228476879.48940384,0.8102732900893406,8555820544.0,0.0,0-10%,$10-50B
PCAR,Paccar,Industrials,27815801798.484695,2500233479.41753,8.988536435263692,64153358336.0,1.1400000000000001,0-10%,$10-50B
BKR,Baker Hughes,Energy,27725000302.819485,3087216314.3840632,11.135135367591356,63173775360.0,1.44,10-20%,$10-50B
MCD,McDonald's,Consumer Discretionary,27701999228.73671,8703990409.998384,31.420080327521227,179372965888.0,2.91,30%+,$10-50B
USB,U.S. Bancorp,Financials,27321000027.86573,7805838532.153014,28.570837539590578,96770580480.0,3.3300000000000005,20-30%,$10-50B
CCL,Carnival,Consumer Discretionary,27310999869.90594,3040621224.471833,11.133320782672266,31091036160.0,1.94,10-20%,$10-50B
BLK,BlackRock,Financials,27299000344.13043,6780131430.872297,24.836555717799744,174179352576.0,2.09,20-30%,$10-50B
AIG,American International Group,Financials,26738998920.08529,2865454632.568305,10.71638710608529,39232675840.0,2.68,10-20%,$10-50B
EOG,EOG Resources,Energy,26720998932.664436,6740200430.297157,25.22435799380899,77111033856.0,2.81,20-30%,$10-50B
SCHW,Charles Schwab Corporation,Financials,26025000880.5734,9494051831.592953,36.480505323171286,184243421184.0,1.2,30%+,$10-50B
FCX,Freeport-McMoRan,Materials,25867999499.123028,2929475720.9511437,11.324709207028006,109467623424.0,0.7799999999999999,10-20%,$10-50B
SYK,Stryker Corporation,Health Care,25837000437.945583,3701479666.5492435,14.326274737035861,105632186368.0,1.27,10-20%,$10-50B
PCG,PG&E Corporation,Utilities,25836999442.445198,3061290393.463101,11.848474898497665,31251587072.0,1.35,10-20%,$10-50B
KKR,KKR,Financials,25833118133.968002,2890838384.283665,11.19043535237234,96136536064.0,0.74,10-20%,$10-50B
NEM,Newmont,Materials,25766999928.18262,8355779736.389586,32.428221211932645,135620739072.0,0.8200000000000001,30%+,$10-50B
WM,Waste Management,Industrials,25667000673.906525,2829983738.9629736,11.025767190008997,86514360320.0,1.7399999999999998,10-20%,$10-50B
UNP,Union Pacific Corporation,Industrials,25410000323.564053,7336832877.773242,28.87380080420308,169157050368.0,1.97,20-30%,$10-50B
EXC,Exelon,Utilities,25325999340.609653,2802290638.7748623,11.064876852782088,45022097408.0,3.82,10-20%,$10-50B
ADBE,Adobe Inc.,Information Technology,25198001440.64121,6944324767.874394,27.559029966059416,101306851328.0,0.0,20-30%,$10-50B
MMM,3M,Industrials,25180000142.553913,2903517509.780927,11.531046439010998,84784766976.0,1.8599999999999999,10-20%,$10-50B
DHR,Danaher Corporation,Health Care,25106999290.58589,3936721586.77498,15.679777345001524,144006692864.0,0.7799999999999999,10-20%,$10-50B
GPC,Genuine Parts Company,Consumer Discretionary,25071539315.758656,34464940.78674948,0.13746639307897074,18644154368.0,3.17,0-10%,$10-50B
JCI,Johnson Controls,Industrials,24995000544.693913,2156439358.318627,8.627482741849384,87784046592.0,1.09,0-10%,$10-50B
ROST,Ross Stores,Consumer Discretionary,24511797023.715153,2656067386.190165,10.835873777921794,72262361088.0,0.7799999999999999,10-20%,$10-50B
SHW,Sherwin-Williams,Materials,24410300772.58228,2629070683.5119815,10.770333016400032,77837975552.0,0.98,10-20%,$10-50B
PNC,PNC Financial Services,Financials,24319000780.38706,7248807082.895484,29.807174843883995,96021757952.0,3.29,20-30%,$10-50B
OXY,Occidental Petroleum,Energy,23926000422.00004,3388770601.7432456,14.16354819849982,61277769728.0,1.8499999999999999,10-20%,$10-50B
AMCR,Amcor,Materials,23506001101.215523,1100382714.568325,4.681284195598131,19940970496.0,5.86,0-10%,$10-50B
CDW,CDW,Information Technology,23500401018.07306,1040144964.9475349,4.426073257846145,17798729728.0,1.7399999999999998,0-10%,$10-50B
LRCX,Lam Research,Information Technology,23232689610.260975,7220122058.887469,31.077426591618657,395217207296.0,0.41000000000000003,30%+,$10-50B
AEP,American Electric Power,Utilities,22790999570.574303,3141172769.4509444,13.782514275971227,67870019584.0,3.0300000000000002,10-20%,$10-50B
BDX,Becton Dickinson,Health Care,22484001450.357086,1574395920.1813467,7.002294158615358,48975151104.0,2.35,0-10%,$10-50B
HAL,Halliburton,Energy,22372997891.66449,1591279056.4095602,7.112498128837813,30934130688.0,1.8499999999999999,0-10%,$10-50B
OMC,Omnicom Group,Communication Services,22371299204.764725,101508006.19010447,0.45374211511365825,21481289728.0,3.94,0-10%,$10-50B
TT,Trane Technologies,Industrials,22209899737.658844,2952710829.117018,13.294570727442037,97727700992.0,0.9400000000000001,10-20%,$10-50B
CARR,Carrier Global,Industrials,22107998585.669724,1154055079.2133048,5.22007939679061,47769636864.0,1.6199999999999999,0-10%,$10-50B
ADP,Automatic Data Processing,Industrials,21947400700.028603,4342082165.974788,19.784038325637027,105362030592.0,2.54,10-20%,$10-50B
CTSH,Cognizant,Information Technology,21642001103.73499,2099070000.1625395,9.6990568945137,26215854080.0,2.1999999999999997,0-10%,$10-50B
PH,Parker Hannifin,Industrials,21498999652.03745,3589832059.326663,16.697670205257467,119678287872.0,0.84,10-20%,$10-50B
INTU,Intuit,Information Technology,21447998623.319202,4502418728.138163,20.9922557680647,85874204672.0,1.73,20-30%,$10-50B
GEHC,GE HealthCare,Health Care,21266000436.208736,1960318230.0844646,9.218086099286973,29436391424.0,0.21,0-10%,$10-50B
CL,Colgate-Palmolive,Consumer Staples,21046998536.14517,2024818808.4754684,9.620463483180918,70175121408.0,2.4,0-10%,$10-50B
BSX,Boston Scientific,Health Care,20995999437.63502,3579597078.1701717,17.048948247511362,65157361664.0,0.0,10-20%,$10-50B
STLD,Steel Dynamics,Materials,20538676707.84983,1580908720.880303,7.697227739487635,34497638400.0,0.88,0-10%,$10-50B
APTV,Aptiv,Consumer Discretionary,20518000275.29739,458869653.683888,2.2364248344237683,9241758720.0,0.0,0-10%,$10-50B
MO,Altria,Consumer Staples,20444000024.527264,7931283857.814562,38.79516654421429,113358913536.0,6.510000000000001,30%+,$10-50B
KDP,Keurig Dr Pepper,Consumer Staples,20090000132.076294,1347217787.411693,6.705912287480203,43655299072.0,2.83,0-10%,$10-50B
DLTR,Dollar Tree,Consumer Staples,20068699802.28129,1531063356.312383,7.629110861174678,22213552128.0,0.0,0-10%,$10-50B
AMP,Ameriprise Financial,Financials,19839000559.772675,3658761771.654424,18.442268604363345,48749334528.0,1.22,10-20%,$10-50B
TXN,Texas Instruments,Information Technology,19452998967.40422,6009169990.087867,30.8907125331006,238896463872.0,2.19,30%+,$10-50B
EIX,Edison International,Utilities,19423001609.641468,3728847246.631384,19.198099869282846,22103713792.0,5.92,10-20%,$10-50B
TEL,TE Connectivity,Information Technology,19321999170.35238,2955929845.7046866,15.298260907909867,59257561088.0,1.52,10-20%,$10-50B
ACGL,Arch Capital Group,Financials,19231999866.77199,4360907829.80181,22.67526965480252,32797235200.0,0.0,20-30%,$10-50B
VST,Vistra Corp.,Utilities,19211999047.629692,1990316739.6947515,10.359758683937212,50714480640.0,0.61,10-20%,$10-50B
TFC,Truist Financial,Financials,19028001113.02112,5314073982.785276,27.92765225953652,61264556032.0,4.109999999999999,20-30%,$10-50B
GWW,W. W. Grainger,Industrials,18844999498.950455,1845885809.8637085,9.79509609414695,60234096640.0,0.77,0-10%,$10-50B
DVN,Devon Energy,Energy,18780999366.86717,5059999812.919558,26.94212226984175,53877997568.0,2.64,20-30%,$10-50B
L,Loews Corporation,Financials,18694001358.052013,1666085828.8427281,8.912408836030709,22217203712.0,0.22999999999999998,0-10%,$10-50B
RCL,Royal Caribbean Group,Consumer Discretionary,18681998663.845776,4330049236.148127,23.177655207351172,69473353728.0,2.27,20-30%,$10-50B
EMR,Emerson Electric,Industrials,18636000165.337963,2543567883.0912395,13.648679225825237,83859652608.0,1.46,10-20%,$10-50B
ORLY,O'Reilly Auto Parts,Consumer Discretionary,18572562147.765495,2548226410.056814,13.720381656460882,69635342336.0,0.0,10-20%,$10-50B
D,Dominion Energy,Utilities,18119000550.748966,2541830028.3894796,14.028533313800306,57257136128.0,4.03,10-20%,$10-50B
UHS,Universal Health Services,Health Care,18114485695.710373,1443355162.7957315,7.967961039807646,10359860224.0,0.47000000000000003,0-10%,$10-50B
AFL,Aflac,Financials,18069001477.267265,4647452365.174984,25.72058213079442,57524129792.0,2.12,20-30%,$10-50B
KMI,Kinder Morgan,Energy,17959000186.076214,3451543061.9935327,19.219015681449502,69943853056.0,3.6900000000000004,10-20%,$10-50B
CTVA,Corteva,Materials,17812000642.36131,1100873431.3123782,6.180515335791259,56544862208.0,0.84,0-10%,$10-50B
MGM,MGM Resorts,Consumer Discretionary,17761442333.62109,422154542.58882976,2.3768032722754873,10402911232.0,0.0,0-10%,$10-50B
ED,Consolidated Edison,Utilities,17689000565.117058,2248558149.553183,12.71161782869389,39752880128.0,3.2399999999999998,10-20%,$10-50B
LDOS,Leidos,Industrials,17634000970.756737,1344021495.5560899,7.621761492385884,16080571392.0,1.3299999999999998,0-10%,$10-50B
AON,Aon,Financials,17577001714.473236,3845834144.7473607,21.879921315480264,64632500224.0,1.04,20-30%,$10-50B
FOX,Fox Corporation (Class B),Communication Services,17125999570.833086,1614479851.7692783,9.427069322825766,24006979584.0,1.0,0-10%,$10-50B
FOXA,Fox Corporation (Class A),Communication Services,17125999449.016237,1614479808.4016862,9.427069136653664,26849136640.0,0.89,0-10%,$10-50B
CHRW,C.H. Robinson,Industrials,16996511143.902636,612300587.9945244,3.6025074958644225,17580271616.0,1.68,0-10%,$10-50B
IQV,IQVIA,Health Care,16982999046.157167,1323383961.6993415,7.792404381008256,42298908672.0,0.0,0-10%,$10-50B
GLW,Corning Inc.,Information Technology,16963999510.636383,1869212659.7325256,11.018702627057577,145109483520.0,0.67,10-20%,$10-50B
RSG,Republic Services,Industrials,16890998833.40561,2164925960.982319,12.81703931386644,68123205632.0,1.21,10-20%,$10-50B
ECL,Ecolab,Materials,16842499229.036842,2088448195.2531173,12.399871104952087,76308250624.0,1.05,10-20%,$10-50B
URI,United Rentals,Industrials,16831999446.514393,2584308021.1766233,15.353541505205952,64033206272.0,0.7799999999999999,10-20%,$10-50B
EG,Everest Group,Financials,16824999313.527866,1815145102.9474804,10.788381438375707,14105142272.0,2.16,10-20%,$10-50B
TRGP,Targa Resources,Energy,16741500110.822397,2240804109.276338,13.384727141791732,62480912384.0,1.7000000000000002,10-20%,$10-50B
KMB,Kimberly-Clark,Consumer Staples,16581998867.947119,1682849995.5500708,10.148655834267409,32825550848.0,4.97,10-20%,$10-50B
ITW,Illinois Tool Works,Industrials,16469000987.469564,3144192103.2901454,19.09157759892299,75184349184.0,2.56,10-20%,$10-50B
DTE,DTE Energy,Utilities,16465000819.398424,1313035594.594344,7.974707131793012,28312461312.0,3.4000000000000004,0-10%,$10-50B
PPG,PPG Industries,Materials,16421000804.379675,1549430920.091323,9.435666793695495,23821668352.0,2.7,0-10%,$10-50B
PHM,PulteGroup,Consumer Discretionary,16407075357.761866,1864861433.0953538,11.366202643868057,22654541824.0,0.8699999999999999,10-20%,$10-50B
